Line No:	Host Time:	Qemu Time:	Difference:
25		7.945200e+04		3.746560e+05		371.55011831042646
28		1.972000e+03		9.220000e+03		367.5456389452333
29		6.802000e+03		1.163000e+04		70.97912378712144
31-34		3.985950e+06		2.377690e+07		496.51776866242676
37		1.900000e+02		5.660000e+02		197.89473684210526
38		1.740000e+02		4.980000e+02		186.20689655172413
39		1.820000e+02		5.960000e+02		227.47252747252747
41-57		2.139002e+10		1.308358e+11		511.6674972720923
Line No:	Host Time:	Qemu Time:	Difference:
25		8.099800e+04		3.753140e+05		363.3620583224277
28		2.948000e+03		9.440000e+03		220.21709633649934
29		5.056000e+03		1.240400e+04		145.33227848101268
31-34		4.034138e+06		2.344440e+07		481.150173841351
37		1.900000e+02		5.020000e+02		164.21052631578948
38		1.820000e+02		4.820000e+02		164.83516483516482
39		1.800000e+02		6.100000e+02		238.88888888888889
41-57		2.075152e+10		1.782626e+11		759.0339406462755
Line No:	Host Time:	Qemu Time:	Difference:
25		7.979400e+04		3.762902e+05		371.57706093189967
28		2.958000e+03		8.940000e+03		202.2312373225152
29		7.538000e+03		1.395400e+04		85.11541522950384
31-34		3.797332e+06		2.339976e+07		516.21580625555
37		1.920000e+02		5.080000e+02		164.58333333333331
38		1.820000e+02		4.760000e+02		161.53846153846155
39		1.800000e+02		5.960000e+02		231.1111111111111
41-57		2.242522e+10		1.309862e+11		484.1021849506939
Line No:	Host Time:	Qemu Time:	Difference:
25		8.211600e+04		3.744400e+05		355.98908860636175
28		2.754000e+03		9.438000e+03		242.70152505446623
29		6.858000e+03		1.184200e+04		72.67424905220182
31-34		3.509752e+06		2.367864e+07		574.6527959810265
37		1.900000e+02		5.140000e+02		170.52631578947367
38		1.740000e+02		5.560000e+02		219.54022988505747
39		1.840000e+02		6.480000e+02		252.17391304347828
41-57		2.077620e+10		1.309262e+11		530.1739490378413
Line No:	Host Time:	Qemu Time:	Difference:
25		7.593400e+04		3.730942e+05		391.34011114915586
28		1.660000e+03		7.898000e+03		375.7831325301205
29		3.776000e+03		1.112600e+04		194.65042372881356
31-34		3.845876e+06		2.334642e+07		507.05077334786665
37		1.900000e+02		5.880000e+02		209.4736842105263
38		1.780000e+02		4.840000e+02		171.91011235955057
39		1.920000e+02		5.920000e+02		208.33333333333334
41-57		2.076672e+10		1.308654e+11		530.1688470784023
